#Output File:20260102_2231 
#(Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,bk_slope,bk_intercept,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_bk_slope,init_bk_intercept,placeholder
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,2081.1623,-0.9613,2.5569e+04,1.5869e+03,3.3059e+01,4.8286e+05,1.3024e+03,6.8783e+01,-9.6132e-01,2.0812e+03,6.3e+03,7.9e+01,1.7e+06,6.5e+03,2.4e+03,2.4e+03,,9.5375e+04,1.6000e+03,3.5000e+01,7.4658e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19327.3380,-0.9715,3.9751e+06,1.4781e+03,3.2804e+02,2.3251e+04,1.2499e+03,2.1122e+01,-9.7154e-01,1.9327e+04,2.2e+04,1.5e+02,6.0e+06,2.3e+04,2.7e+03,2.7e+03,,2.3226e+06,1.6000e+03,3.5000e+01,5.8095e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,4879.8137,-0.1067,3.6405e+05,1.5830e+03,5.0493e+01,3.9626e+06,1.3589e+03,2.4806e+02,-1.0667e-01,4.8798e+03,1.0e+04,1.0e+02,2.8e+06,1.1e+04,2.5e+03,2.5e+03,,1.0394e+06,1.6000e+03,3.5000e+01,2.7025e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,37.4945,-0.0142,2.9492e+04,1.5899e+03,5.2700e+01,8.5387e+04,1.3336e+03,1.1867e+02,-1.4202e-02,3.7494e+01,2.2e+02,1.5e+01,5.9e+04,2.3e+02,1.5e+03,1.5e+03,,2.6088e+04,1.6000e+03,3.5000e+01,7.1474e+04,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,233.8620,-0.0556,1.9795e+04,1.5764e+03,8.5185e+01,1.6763e+04,1.3446e+03,8.1418e+01,-5.5559e-02,2.3386e+02,3.5e+02,1.9e+01,9.4e+04,3.6e+02,1.6e+03,1.6e+03,,2.7263e+04,1.6000e+03,3.5000e+01,6.3181e+04,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,24685.0424,-5.6787,2.0959e+06,1.6119e+03,3.1935e+02,9.3328e+05,1.3871e+03,2.3863e+02,-5.6787e+00,2.4685e+04,1.5e+04,1.2e+02,4.0e+06,1.5e+04,2.6e+03,2.6e+03,,2.0080e+06,1.6000e+03,3.5000e+01,5.3018e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2337.7441,-0.6429,2.7542e+05,1.5880e+03,4.1123e+01,8.6441e+05,1.3266e+03,7.6441e+01,-6.4286e-01,2.3377e+03,2.0e+04,1.4e+02,5.5e+06,2.1e+04,2.7e+03,2.7e+03,,4.0339e+05,1.6000e+03,3.5000e+01,1.4703e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,912.4745,0.0952,9.7786e+04,1.4104e+03,1.8382e+02,2.2496e+04,1.2403e+03,8.8326e+01,9.5164e-02,9.1247e+02,4.7e+02,2.2e+01,1.3e+05,4.9e+02,1.7e+03,1.7e+03,,1.2549e+05,1.6000e+03,3.5000e+01,3.3408e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,48.9098,0.1071,7.1297e+03,1.6031e+03,3.3224e+01,1.7723e+04,1.4756e+03,1.6489e+01,1.0712e-01,4.8910e+01,1.4e+03,3.7e+01,3.8e+05,1.4e+03,2.0e+03,2.0e+03,,3.1351e+04,1.6000e+03,3.5000e+01,7.5421e+04,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,10.9653,0.0173,5.9781e+03,1.5843e+03,4.9859e+01,8.0452e+03,1.3282e+03,6.9853e+01,1.7287e-02,1.0965e+01,1.2e+02,1.1e+01,3.2e+04,1.2e+02,1.3e+03,1.3e+03,,8.3667e+03,1.6000e+03,3.5000e+01,1.9194e+04,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,894.9902,0.3197,1.5735e+05,1.5971e+03,3.1271e+01,6.2359e+05,1.3290e+03,1.1809e+02,3.1966e-01,8.9499e+02,6.8e+03,8.2e+01,1.8e+06,7.0e+03,2.4e+03,2.4e+03,,3.5680e+05,1.6000e+03,3.5000e+01,8.6205e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,480.2285,-0.2449,1.9476e+05,1.5902e+03,4.6912e+01,5.4811e+05,1.3261e+03,9.4096e+01,-2.4488e-01,4.8023e+02,3.8e+03,6.2e+01,1.0e+06,4.0e+03,2.2e+03,2.3e+03,,1.7845e+05,1.6000e+03,3.5000e+01,5.8368e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,388.3761,0.0101,5.7384e+04,1.5645e+03,1.3503e+02,7.1710e+04,1.3135e+03,5.9182e+01,1.0105e-02,3.8838e+02,5.0e+02,2.2e+01,1.3e+05,5.1e+02,1.7e+03,1.7e+03,,6.2521e+04,1.6000e+03,3.5000e+01,2.1583e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,57.7369,0.1941,2.5865e+04,1.5765e+03,1.0084e+01,2.9833e+04,1.3309e+03,4.1390e+01,1.9410e-01,5.7737e+01,5.6e+02,2.4e+01,1.5e+05,5.8e+02,1.7e+03,1.8e+03,,5.8126e+04,1.6000e+03,3.5000e+01,1.5224e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
#0:00:17.903161
