#Output File:20260102_2228 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1580.0      35.0           0.7      NaN         1570.0         1605.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1330.0      87.5           0.9      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1610.0      35.0           0.5      NaN         1600.0         1650.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.4      NaN         1400.0         1550.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN         1100.0         1300.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,230737.6365,1578.1677,72.0296,79271.0948,1300.0000,52.5326,22898.0956,1613.0433,12.8060,736020.7717,1400.0000,125.0244,5781.3773,1170.7839,7.6925,3.2e+04,1.8e+02,8.7e+06,3.4e+04,2.8e+03,2.9e+03,,137947.8441,1580.0000,35.0000,589970.6313,1330.0000,87.5000,106706.3023,1610.0000,35.0000,134607.0076,1500.0000,63.7000,23469.2724,1200.0000,100.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14012.4929,1594.6301,22.8176,103499.0946,1330.5440,71.5851,8008.3148,1618.3194,18.5212,19352.0627,1542.2179,64.6321,6466.2617,1185.9571,53.6448,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,23374.9050,1580.0000,35.0000,115920.3491,1330.0000,87.5000,19561.5827,1610.0000,35.0000,11079.5902,1500.0000,63.7000,4471.5369,1200.0000,100.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,42813.8019,1592.0804,19.2614,294480.7914,1325.0169,61.0355,29766.7991,1612.9512,16.0819,32500.7752,1543.4090,55.7628,0.0061,1125.1796,2319.9414,1.0e+03,3.1e+01,2.8e+05,1.1e+03,1.9e+03,2.0e+03,,69724.7797,1580.0000,35.0000,380209.6721,1330.0000,87.5000,61776.8737,1610.0000,35.0000,23964.1162,1500.0000,63.7000,10668.8054,1200.0000,100.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,12478.6739,1575.0975,32.6501,76003.7790,1320.5572,95.3509,8847.8235,1613.0157,23.2557,16822.4433,1473.5949,88.6699,0.0281,1224.7031,435.2425,3.1e+02,1.7e+01,8.4e+04,3.3e+02,1.6e+03,1.6e+03,,17292.4116,1580.0000,35.0000,65892.7850,1330.0000,87.5000,12033.3773,1610.0000,35.0000,10282.9201,1500.0000,63.7000,3423.9393,1200.0000,100.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1580.0000,35.0000,147955.3160,1330.0000,87.5000,59.7130,1610.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,2.6e+04,1.6e+02,7.1e+06,2.8e+04,2.8e+03,2.8e+03,,-12.7267,1580.0000,35.0000,147955.3160,1330.0000,87.5000,59.7130,1610.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,6032.2977,1596.0372,22.1594,31401.3321,1328.5154,68.9384,1617.5346,1623.4913,14.9372,5133.3859,1530.4546,66.7285,0.0000,1291.7024,710.0131,2.6e+02,1.6e+01,7.0e+04,2.7e+02,1.5e+03,1.6e+03,,7527.2395,1580.0000,35.0000,35856.7926,1330.0000,87.5000,6224.7671,1610.0000,35.0000,3330.6786,1500.0000,63.7000,1510.7460,1200.0000,100.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,39472.7959,1582.8351,23.2858,132066.4690,1324.1880,47.8202,12107.5153,1610.2931,12.6847,27908.8786,1498.4863,74.8446,19826.8287,1183.8074,87.5534,3.5e+02,1.8e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,51365.3954,1580.0000,35.0000,225467.7299,1330.0000,87.5000,31937.2939,1610.0000,35.0000,16628.6991,1500.0000,63.7000,5632.5631,1200.0000,100.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,28337.3592,1570.0000,30.0380,39133.2689,1300.0000,56.9919,28227.6253,1613.5379,39.8328,258629.2802,1400.0000,124.5348,37364.6498,1223.1215,47.6208,7.4e+03,8.5e+01,2.0e+06,7.9e+03,2.4e+03,2.5e+03,,51465.1951,1580.0000,35.0000,216744.8273,1330.0000,87.5000,31759.9378,1610.0000,35.0000,39510.1299,1500.0000,63.7000,14254.3476,1200.0000,100.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,205315.3730,1570.0000,33.1618,451008.6876,1300.0000,97.2006,67616.1412,1613.2754,19.0955,174792.1155,1400.0000,104.9436,256382.3714,1100.0000,89.9239,3.5e+04,1.9e+02,9.6e+06,3.7e+04,2.9e+03,2.9e+03,,183058.8858,1580.0000,35.0000,456836.6463,1330.0000,87.5000,114716.4215,1610.0000,35.0000,73299.1874,1500.0000,63.7000,39075.4572,1200.0000,100.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,587685.9705,1570.0000,39.9504,691824.0346,1315.8153,85.1332,191176.3044,1611.4809,23.6052,1589302.1291,1400.0000,125.5069,338242.7051,1154.4004,92.0167,4.7e+04,2.1e+02,1.3e+07,5.0e+04,2.9e+03,3.0e+03,,571212.5879,1580.0000,35.0000,1751443.6267,1330.0000,87.5000,346840.2052,1610.0000,35.0000,356644.6636,1500.0000,63.7000,101928.6382,1200.0000,100.0000,
