#Output File:20260102_2221 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1580.0      35.0           0.6      NaN         1570.0         1605.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1330.0      87.5           0.9      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1620.0      35.0           0.6      NaN         1600.0         1650.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.4      NaN         1400.0         1550.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN         1100.0         1300.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,271.9111,0.1779,55184.8239,1571.2122,25.5797,300281.3149,1317.7173,54.9065,46253.0995,1600.3664,20.1138,45870.8310,1507.4469,70.3772,16360.2355,1169.6638,50.5948,1.0e+03,3.1e+01,2.8e+05,1.1e+03,1.9e+03,2.0e+03,,81063.1966,1580.0000,35.0000,417059.8589,1330.0000,87.5000,49017.7954,1620.0000,35.0000,31459.9859,1500.0000,63.7000,11746.2648,1200.0000,100.0000,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,510.0238,-0.2248,6967.0708,1570.0000,23.7431,136415.3728,1306.7522,60.0856,7000.6438,1605.1899,19.3722,22828.8683,1400.0000,118.7110,21673.8375,1142.0204,79.1218,4.0e+02,2.0e+01,1.1e+05,4.2e+02,1.6e+03,1.7e+03,,12245.9650,1580.0000,35.0000,172697.7195,1330.0000,87.5000,9476.6193,1620.0000,35.0000,9363.5213,1500.0000,63.7000,7898.4357,1200.0000,100.0000,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,1847.2163,-0.7996,12584.4119,1574.9837,19.5755,418204.5718,1303.2943,59.6210,6093.7422,1609.4137,12.5508,21495.8676,1400.0000,103.9038,72580.2564,1125.3102,77.3986,2.0e+03,4.3e+01,5.4e+05,2.1e+03,2.1e+03,2.1e+03,,21972.7845,1580.0000,35.0000,478234.7531,1330.0000,87.5000,16296.5937,1620.0000,35.0000,16284.7619,1500.0000,63.7000,23654.5477,1200.0000,100.0000,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19075.1117,0.4425,94539.5925,1570.0000,47.5821,1.1526,1300.0000,150.5574,45345.5507,1650.0000,50.0466,540250.9553,1439.1380,121.4372,224170.3212,1247.4459,93.3175,2.8e+04,1.7e+02,7.6e+06,3.0e+04,2.8e+03,2.9e+03,,100301.5235,1580.0000,35.0000,363659.0307,1330.0000,87.5000,89640.9518,1620.0000,35.0000,124995.9505,1500.0000,63.7000,22970.8358,1200.0000,100.0000,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6043.1314,0.1023,195703.7976,1570.0000,37.2043,234871.3407,1300.0001,83.7196,98643.3274,1609.1226,27.2284,1073489.4029,1400.0000,137.8854,214731.7457,1153.7400,69.3768,1.3e+04,1.1e+02,3.4e+06,1.3e+04,2.6e+03,2.6e+03,,232848.2768,1580.0000,35.0000,903486.6192,1330.0000,87.5000,171710.3927,1620.0000,35.0000,195711.3624,1500.0000,63.7000,67915.7624,1200.0000,100.0000,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,30.4124,0.0093,10024.2095,1570.0000,36.2811,29626.0076,1323.4430,64.8364,8936.3050,1607.4455,24.2652,25172.5238,1400.0000,122.9066,8066.5801,1184.6214,84.0263,2.0e+02,1.4e+01,5.3e+04,2.1e+02,1.5e+03,1.5e+03,,11423.8633,1580.0000,35.0000,53729.3538,1330.0000,87.5000,10046.0551,1620.0000,35.0000,6697.2904,1500.0000,63.7000,2573.3141,1200.0000,100.0000,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,225.5845,-0.0439,10140.3019,1570.0000,69.2551,3566.9698,1307.5320,22.8021,2512.4713,1604.0449,14.6566,9369.7640,1400.0001,86.9313,815.7055,1100.0000,21.0532,2.9e+02,1.7e+01,7.8e+04,3.1e+02,1.6e+03,1.6e+03,,4873.5866,1580.0000,35.0000,15518.6012,1330.0000,87.5000,4359.8542,1620.0000,35.0000,3490.1071,1500.0000,63.7000,10.3723,1200.0000,100.0000,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23821.8023,-4.0107,14341.3331,1570.0000,14.3716,4411.3124,1300.0000,7.0197,40865.4438,1633.7962,40.4009,469021.1777,1435.5339,147.3031,4873.6095,1122.4302,5.4860,1.8e+04,1.3e+02,4.7e+06,1.9e+04,2.7e+03,2.7e+03,,71144.9528,1580.0000,35.0000,198885.6149,1330.0000,87.5000,63363.6415,1620.0000,35.0000,83685.0229,1500.0000,63.7000,10575.8587,1200.0000,100.0000,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2115.4123,-0.4016,123485.2548,1581.6816,25.7813,611243.2957,1322.7469,54.7999,50908.6778,1609.4165,14.9024,134589.1336,1465.3564,88.6241,95115.3314,1169.4555,66.5631,3.7e+03,5.8e+01,1.0e+06,4.0e+03,2.3e+03,2.3e+03,,138698.5791,1580.0000,35.0000,932168.8547,1330.0000,87.5000,105628.8188,1620.0000,35.0000,66655.8183,1500.0000,63.7000,30245.9200,1200.0000,100.0000,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,951.5507,0.0911,0.0014,1570.0003,90.5407,1982.7661,1300.0021,69.9516,2251.8884,1650.0000,53.5726,46145.0027,1400.5593,130.9469,15632.2141,1222.7760,71.9430,4.8e+02,2.2e+01,1.3e+05,5.0e+02,1.7e+03,1.7e+03,,4395.1244,1580.0000,35.0000,35266.7634,1330.0000,87.5000,3246.0047,1620.0000,35.0000,7389.2979,1500.0000,63.7000,3432.5595,1200.0000,100.0000,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,51.6479,0.0716,29299.2310,1570.0000,127.5650,28537.4579,1352.5770,83.4217,4273.4662,1618.6582,28.1778,9552.5098,1476.1088,12.3006,63747.3090,1100.0000,6229.1235,5.8e+02,2.4e+01,1.6e+05,6.1e+02,1.7e+03,1.8e+03,,7123.9564,1580.0000,35.0000,31516.9431,1330.0000,87.5000,7824.3087,1620.0000,35.0000,9683.0317,1500.0000,63.7000,1005.4092,1200.0000,100.0000,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,12.6049,0.0187,2229.7078,1577.0492,28.6647,3798.6463,1315.1016,37.2224,1377.2781,1606.8517,22.8290,2875.4159,1428.3387,95.5987,0.0000,1299.9384,8208.3197,1.2e+02,1.1e+01,3.1e+04,1.2e+02,1.3e+03,1.4e+03,,2361.4586,1580.0000,35.0000,7984.9711,1330.0000,87.5000,1831.2203,1620.0000,35.0000,667.1967,1500.0000,63.7000,89.2779,1200.0000,100.0000,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,1014.8581,0.3500,54791.4498,1583.7297,22.1527,264524.3795,1344.0789,57.0359,57641.4668,1608.1324,16.3864,59977.6592,1509.4127,76.5057,144257.0099,1236.9234,76.0790,3.4e+03,5.6e+01,9.2e+05,3.6e+03,2.2e+03,2.3e+03,,88075.4010,1580.0000,35.0000,409517.0920,1330.0000,87.5000,82972.8746,1620.0000,35.0000,38862.9168,1500.0000,63.7000,20631.9706,1200.0000,100.0000,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,406.8371,-0.0910,51478.8730,1585.5640,23.2067,422102.5784,1326.4694,73.4676,36310.4387,1612.1460,17.7815,62636.9959,1535.3181,63.3091,24021.8156,1182.2315,58.5172,2.2e+03,4.4e+01,6.0e+05,2.3e+03,2.1e+03,2.2e+03,,81266.7772,1580.0000,35.0000,454618.9670,1330.0000,87.5000,70829.2455,1620.0000,35.0000,41129.5799,1500.0000,63.7000,17803.3151,1200.0000,100.0000,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,329.2569,0.0687,4469.4340,1570.0000,28.1579,44278.9389,1311.4456,42.6738,5816.4350,1612.2831,24.7352,36324.6421,1400.0000,145.8972,6275.8756,1100.0000,95.7409,3.5e+02,1.9e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,8374.1480,1580.0000,35.0000,90176.2622,1330.0000,87.5000,8041.1719,1620.0000,35.0000,6520.1438,1500.0000,63.7000,2888.6986,1200.0000,100.0000,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,70.7149,0.1761,22098.6722,1576.2269,8.5279,18041.0473,1332.9311,28.7019,4338.5725,1608.0957,18.0078,7867.5262,1502.2598,92.8729,13864.9209,1299.9999,75.8683,3.8e+02,1.9e+01,1.0e+05,4.0e+02,1.6e+03,1.7e+03,,41222.8057,1580.0000,35.0000,61526.2423,1330.0000,87.5000,7857.0964,1620.0000,35.0000,4112.4189,1500.0000,63.7000,772.9519,1200.0000,100.0000,
#0:01:03.549854
