#Output File:20260102_2232 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6332.0838,0.1456,3.2624e+05,1.5716e+03,4.4776e+01,1.5774e+06,1.3557e+03,1.4229e+02,9.7e+04,3.0e+02,2.2e+07,1.0e+05,2.6e+03,2.6e+03,,3.1750e+05,1.6000e+03,3.5000e+01,9.0860e+05,1.3300e+03,8.7500e+01,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,53.1395,0.0034,2.0381e+04,1.5872e+03,4.1282e+01,5.7598e+04,1.3352e+03,9.0612e+01,3.6e+02,1.9e+01,8.2e+04,3.7e+02,1.3e+03,1.4e+03,,1.9645e+04,1.6000e+03,3.5000e+01,5.5619e+04,1.3300e+03,8.7500e+01,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,208.9071,-0.0276,8.0260e+03,1.5881e+03,3.8957e+01,1.6472e+04,1.3603e+03,9.1055e+01,3.8e+02,1.9e+01,8.6e+04,3.9e+02,1.4e+03,1.4e+03,,9.1449e+03,1.6000e+03,3.5000e+01,1.5852e+04,1.3300e+03,8.7500e+01,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23277.9144,-3.5351,1.1319e+05,1.5559e+03,6.4174e+01,4.5042e+05,1.3980e+03,1.3290e+02,2.3e+04,1.5e+02,5.1e+06,2.3e+04,2.3e+03,2.3e+03,,7.0136e+04,1.6000e+03,3.5000e+01,1.9648e+05,1.3300e+03,8.7500e+01,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2441.7520,-0.5410,2.1418e+05,1.5878e+03,3.4067e+01,7.3008e+05,1.3268e+03,6.6810e+01,2.5e+04,1.6e+02,5.7e+06,2.6e+04,2.3e+03,2.3e+03,,2.3004e+05,1.6000e+03,3.5000e+01,9.9705e+05,1.3300e+03,8.7500e+01,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,887.2961,0.1383,4.5401e+04,1.4182e+03,1.1163e+02,3.2059e+04,1.2522e+03,9.1548e+01,5.1e+02,2.3e+01,1.2e+05,5.3e+02,1.4e+03,1.4e+03,,3.6110e+03,1.6000e+03,3.5000e+01,3.9579e+04,1.3300e+03,8.7500e+01,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,32.1490,0.1074,4.2383e+04,1.4312e+03,1.5572e+02,1.0081e+04,1.4764e+03,1.0066e+01,7.9e+02,2.8e+01,1.8e+05,8.1e+02,1.5e+03,1.5e+03,,8.9273e+03,1.6000e+03,3.5000e+01,2.7282e+04,1.3300e+03,8.7500e+01,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,4.7513,0.0240,4.5216e+03,1.5842e+03,4.0253e+01,7.0258e+03,1.3269e+03,6.3559e+01,1.2e+02,1.1e+01,2.7e+04,1.2e+02,1.1e+03,1.1e+03,,3.6304e+03,1.6000e+03,3.5000e+01,9.1194e+03,1.3300e+03,8.7500e+01,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,978.8864,0.4071,1.2555e+05,1.5967e+03,2.6278e+01,4.6397e+05,1.3306e+03,9.5437e+01,1.2e+04,1.1e+02,2.6e+06,1.2e+04,2.1e+03,2.1e+03,,1.7758e+05,1.6000e+03,3.5000e+01,4.4401e+05,1.3300e+03,8.7500e+01,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,588.0652,-0.1757,1.4463e+05,1.5895e+03,3.7933e+01,4.2335e+05,1.3271e+03,7.7789e+01,8.0e+03,8.7e+01,1.8e+06,8.2e+03,2.0e+03,2.1e+03,,1.4470e+05,1.6000e+03,3.5000e+01,4.8633e+05,1.3300e+03,8.7500e+01,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,379.9165,0.0510,2.1375e+04,1.5653e+03,7.4619e+01,6.1912e+04,1.3155e+03,5.3027e+01,6.0e+02,2.4e+01,1.3e+05,6.1e+02,1.5e+03,1.5e+03,,1.1770e+04,1.6000e+03,3.5000e+01,9.2718e+04,1.3300e+03,8.7500e+01,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,63.9988,0.1884,2.6193e+04,1.5765e+03,1.0222e+01,3.0519e+04,1.3310e+03,4.2398e+01,5.8e+02,2.4e+01,1.3e+05,6.0e+02,1.5e+03,1.5e+03,,1.7955e+04,1.6000e+03,3.5000e+01,6.5704e+04,1.3300e+03,8.7500e+01,
#0:00:16.011414
