#Output File:20260102_2212 
#Model(BWF_spc, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g    BWF_spc       1600      70.0          0.25     -7.0            NaN            NaN          0.01           NaN                 0               NaN          NaN         -0.1                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN          0.01           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_center,g_sigma,g_amplitude,g_q,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_center,init_g_sigma,init_g_amplitude,init_g_q,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,30.4124,0.0093,1.6010e+03,9.1534e+01,1.6601e+02,-5.9893e+00,5.7219e+04,1.3315e+03,8.9636e+01,2.4e+02,1.5e+01,6.5e+04,2.5e+02,1.5e+03,1.5e+03,,1.6000e+03,7.0000e+01,1.9192e+02,-7.0000e+00,5.9699e+04,1.3300e+03,8.7500e+01,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,225.5845,-0.0439,1.5925e+03,1.1841e+02,7.1265e+01,-8.4598e+00,1.3712e+04,1.3493e+03,7.4917e+01,3.5e+02,1.9e+01,9.4e+04,3.6e+02,1.6e+03,1.6e+03,,1.6000e+03,7.0000e+01,9.2609e+01,-7.0000e+00,1.7243e+04,1.3300e+03,8.7500e+01,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23821.8023,-4.0107,1.5726e+03,1.7534e+02,8.0140e+02,-1.7314e+01,4.2106e+05,1.3967e+03,1.2280e+02,2.8e+04,1.6e+02,7.4e+06,2.8e+04,2.8e+03,2.8e+03,,1.6000e+03,7.0000e+01,8.5455e+02,-7.0000e+00,2.2098e+05,1.3300e+03,8.7500e+01,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2115.4123,-0.4016,1.6008e+03,7.3203e+01,2.0220e+03,-5.1345e+00,7.0030e+05,1.3252e+03,6.4214e+01,1.2e+04,1.1e+02,3.4e+06,1.3e+04,2.6e+03,2.6e+03,,1.6000e+03,7.0000e+01,2.1955e+03,-7.0000e+00,1.0357e+06,1.3300e+03,8.7500e+01,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,951.5507,0.0911,1.4211e+03,2.4401e+02,1.4083e+02,-9.7894e+03,2.3528e+04,1.2553e+03,7.4299e+01,5.6e+02,2.3e+01,1.5e+05,5.7e+02,1.7e+03,1.7e+03,,1.6000e+03,7.0000e+01,4.4065e+01,-7.0000e+00,3.9185e+04,1.3300e+03,8.7500e+01,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,51.6479,0.0716,1.6266e+03,4.4141e+01,6.0258e+01,-1.0666e+06,7.1823e+04,1.4608e+03,1.2182e+02,1.9e+03,4.4e+01,5.2e+05,2.0e+03,2.1e+03,2.1e+03,,1.6000e+03,7.0000e+01,1.1894e+02,-7.0000e+00,3.5019e+04,1.3300e+03,8.7500e+01,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,12.6049,0.0187,1.5931e+03,8.5036e+01,3.6362e+01,-8.5878e+00,5.3403e+03,1.3248e+03,4.9231e+01,1.2e+02,1.1e+01,3.3e+04,1.2e+02,1.3e+03,1.3e+03,,1.6000e+03,7.0000e+01,3.3519e+01,-7.0000e+00,8.8722e+03,1.3300e+03,8.7500e+01,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,1014.8581,0.3500,1.6021e+03,5.6382e+01,1.5628e+03,-1.0001e+01,4.4689e+05,1.3300e+03,9.1676e+01,8.6e+03,9.1e+01,2.3e+06,8.9e+03,2.5e+03,2.5e+03,,1.6000e+03,7.0000e+01,1.6704e+03,-7.0000e+00,4.5502e+05,1.3300e+03,8.7500e+01,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,406.8371,-0.0910,1.6014e+03,7.9147e+01,1.2388e+03,-6.1618e+00,4.0662e+05,1.3249e+03,7.5079e+01,3.6e+03,5.6e+01,9.7e+05,3.7e+03,2.2e+03,2.2e+03,,1.6000e+03,7.0000e+01,1.3616e+03,-7.0000e+00,5.0513e+05,1.3300e+03,8.7500e+01,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,329.2569,0.0687,1.5998e+03,1.6437e+02,1.0911e+02,-3.9334e+00,6.4815e+04,1.3145e+03,5.5243e+01,4.6e+02,2.1e+01,1.2e+05,4.7e+02,1.7e+03,1.7e+03,,1.6000e+03,7.0000e+01,1.2952e+02,-7.0000e+00,1.0020e+05,1.3300e+03,8.7500e+01,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,70.7149,0.1761,1.5766e+03,2.1577e+01,8.1354e+02,-6.1282e+07,3.5371e+04,1.3313e+03,4.9076e+01,6.3e+02,2.5e+01,1.7e+05,6.5e+02,1.8e+03,1.8e+03,,1.6000e+03,7.0000e+01,1.7627e+02,-7.0000e+00,6.8362e+04,1.3300e+03,8.7500e+01,
#0:00:16.189623
