#Output File:20260217_1726 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0als_e5.txt,NaN,NaN,nan,nan,3.9414e+05,1.5569e+03,9.3594e+01,8.3376e+05,1.3615e+03,1.1901e+02,4.3e+04,2.0e+02,1.1e+07,4.4e+04,2.9e+03,2.9e+03,,1.9333e+05,1.6000e+03,3.5000e+01,6.0128e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0als_e5.txt,NaN,NaN,nan,nan,3.5086e+04,1.5961e+03,3.5833e+01,8.7045e+04,1.3300e+03,6.8879e+01,4.7e+02,2.1e+01,1.3e+05,4.9e+02,1.7e+03,1.7e+03,,3.6048e+04,1.6000e+03,3.5000e+01,1.1342e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0als_e5.txt,NaN,NaN,nan,nan,9.3414e+04,1.5982e+03,2.6757e+01,2.4069e+05,1.3251e+03,5.3704e+01,2.2e+03,4.5e+01,5.9e+05,2.2e+03,2.1e+03,2.1e+03,,1.2242e+05,1.6000e+03,3.5000e+01,3.8663e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0als_e5.txt,NaN,NaN,nan,nan,2.5417e+04,1.5866e+03,4.3973e+01,7.1269e+04,1.3383e+03,9.6841e+01,4.4e+02,2.0e+01,1.2e+05,4.5e+02,1.7e+03,1.7e+03,,2.2255e+04,1.6000e+03,3.5000e+01,6.2823e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0als_e5.txt,NaN,NaN,nan,nan,7.7993e-04,1.5823e+04,5.7840e+03,1.9019e+05,1.2768e+03,6.6542e+01,1.1e+03,3.2e+01,3.0e+05,1.1e+03,1.9e+03,1.9e+03,,9.7698e+02,1.6000e+03,3.5000e+01,1.5552e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0als_e5.txt,NaN,NaN,nan,nan,1.7392e+04,1.5968e+03,4.6813e+01,3.9640e+04,1.3306e+03,8.6768e+01,2.4e+02,1.5e+01,6.4e+04,2.4e+02,1.5e+03,1.5e+03,,1.4809e+04,1.6000e+03,3.5000e+01,4.2574e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0als_e5.txt,NaN,NaN,nan,nan,6.1528e+04,1.5878e+03,3.0689e+01,1.2045e+05,1.3247e+03,4.7703e+01,1.0e+03,3.1e+01,2.7e+05,1.0e+03,1.9e+03,1.9e+03,,6.5964e+04,1.6000e+03,3.5000e+01,2.2502e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0als_e5.txt,NaN,NaN,nan,nan,1.8023e+05,1.5695e+03,1.1484e+02,4.5000e+05,1.3323e+03,1.4097e+02,7.9e+03,8.9e+01,2.1e+06,8.1e+03,2.4e+03,2.5e+03,,8.1377e+04,1.6000e+03,3.5000e+01,2.7091e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0als_e5.txt,NaN,NaN,nan,nan,1.9922e+05,1.5834e+03,3.4627e+01,1.4952e+06,1.2162e+03,2.9866e+02,5.9e+04,2.4e+02,1.6e+07,6.1e+04,3.0e+03,3.0e+03,,2.3465e+05,1.6000e+03,3.5000e+01,4.3891e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0als_e5.txt,NaN,NaN,nan,nan,8.3688e+05,1.5744e+03,4.7306e+01,2.0185e+06,1.3547e+03,1.1010e+02,1.7e+05,3.9e+02,4.5e+07,1.7e+05,3.3e+03,3.3e+03,,6.4830e+05,1.6000e+03,3.5000e+01,1.5214e+06,1.3300e+03,8.7500e+01,
selected_31624_20160825_184739_26.0_32.0als_e5.txt,NaN,NaN,nan,nan,1.2255e+05,1.5824e+03,3.4115e+01,2.5930e+05,1.3181e+03,5.1952e+01,3.3e+03,5.5e+01,9.0e+05,3.4e+03,2.2e+03,2.2e+03,,1.1790e+05,1.6000e+03,3.5000e+01,4.1859e+05,1.3300e+03,8.7500e+01,
selected_36980_20160825_113352_10.0_20.0als_e5.txt,NaN,NaN,nan,nan,1.2380e+04,1.5897e+03,2.9251e+01,1.4250e+05,1.3074e+03,6.3639e+01,5.1e+02,2.3e+01,1.4e+05,5.3e+02,1.7e+03,1.7e+03,,1.7697e+04,1.6000e+03,3.5000e+01,1.7207e+05,1.3300e+03,8.7500e+01,
selected_36982_20160825_113352_10.0_22.0als_e5.txt,NaN,NaN,nan,nan,1.0585e+04,1.5880e+03,1.9090e+01,4.0980e+05,1.3018e+03,6.1464e+01,5.0e+03,7.1e+01,1.4e+06,5.2e+03,2.3e+03,2.3e+03,,2.4898e+04,1.6000e+03,3.5000e+01,4.8230e+05,1.3300e+03,8.7500e+01,
