#Output File:20260217_1726 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0als_e4.txt,NaN,NaN,nan,nan,9.7013e+04,1.5630e+03,5.0188e+01,5.7712e+05,1.3616e+03,1.2464e+02,4.7e+04,2.2e+02,1.3e+07,4.8e+04,2.9e+03,2.9e+03,,1.0425e+05,1.6000e+03,3.5000e+01,3.7267e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0als_e4.txt,NaN,NaN,nan,nan,2.6700e+04,1.6000e+03,2.9210e+01,4.9732e+04,1.3275e+03,4.7807e+01,3.2e+02,1.7e+01,8.6e+04,3.3e+02,1.6e+03,1.6e+03,,3.0948e+04,1.6000e+03,3.5000e+01,8.8123e+04,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0als_e4.txt,NaN,NaN,nan,nan,7.5185e+04,1.6001e+03,2.2535e+01,1.5618e+05,1.3237e+03,3.9808e+01,2.7e+03,4.8e+01,7.2e+05,2.7e+03,2.1e+03,2.2e+03,,1.1041e+05,1.6000e+03,3.5000e+01,3.2034e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0als_e4.txt,NaN,NaN,nan,nan,1.9274e+04,1.5917e+03,3.7367e+01,4.1083e+04,1.3314e+03,7.7127e+01,3.2e+02,1.8e+01,8.5e+04,3.2e+02,1.6e+03,1.6e+03,,1.8228e+04,1.6000e+03,3.5000e+01,4.4615e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0als_e4.txt,NaN,NaN,nan,nan,2.6194e+03,1.7590e+03,2.9549e+01,1.4569e+05,1.2784e+03,5.7140e+01,8.6e+02,2.8e+01,2.3e+05,8.8e+02,1.8e+03,1.9e+03,,2.0842e+03,1.6000e+03,3.5000e+01,1.2816e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0als_e4.txt,NaN,NaN,nan,nan,1.4625e+04,1.6012e+03,4.2124e+01,2.3989e+04,1.3258e+03,6.6701e+01,2.4e+02,1.5e+01,6.4e+04,2.4e+02,1.5e+03,1.5e+03,,1.2959e+04,1.6000e+03,3.5000e+01,3.2875e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0als_e4.txt,NaN,NaN,nan,nan,4.8524e+04,1.5900e+03,2.5723e+01,7.7541e+04,1.3237e+03,3.4097e+01,9.0e+02,2.8e+01,2.4e+05,9.2e+02,1.8e+03,1.9e+03,,5.9128e+04,1.6000e+03,3.5000e+01,1.8917e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0als_e4.txt,NaN,NaN,nan,nan,1.8560e+04,1.5666e+03,2.4414e+01,2.8634e+05,1.3165e+03,1.3756e+02,5.5e+03,7.3e+01,1.5e+06,5.6e+03,2.3e+03,2.4e+03,,3.3295e+04,1.6000e+03,3.5000e+01,1.5347e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0als_e4.txt,NaN,NaN,nan,nan,1.5737e+05,1.5841e+03,3.0514e+01,7.0867e+05,1.0591e+03,2.6938e+02,6.4e+04,2.5e+02,1.7e+07,6.5e+04,3.0e+03,3.0e+03,,1.6679e+05,1.6000e+03,3.5000e+01,1.8545e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0als_e4.txt,NaN,NaN,nan,nan,6.7154e+05,1.5779e+03,4.3309e+01,9.3236e+05,1.3521e+03,8.1140e+01,9.9e+04,2.9e+02,2.7e+07,1.0e+05,3.1e+03,3.1e+03,,5.1383e+05,1.6000e+03,3.5000e+01,9.2841e+05,1.3300e+03,8.7500e+01,
selected_31624_20160825_184739_26.0_32.0als_e4.txt,NaN,NaN,nan,nan,9.2053e+04,1.5858e+03,2.7722e+01,1.6505e+05,1.3167e+03,3.7787e+01,3.3e+03,5.5e+01,9.0e+05,3.4e+03,2.2e+03,2.2e+03,,1.0325e+05,1.6000e+03,3.5000e+01,3.4051e+05,1.3300e+03,8.7500e+01,
selected_36980_20160825_113352_10.0_20.0als_e4.txt,NaN,NaN,nan,nan,7.7306e+03,1.5967e+03,2.1091e+01,8.9572e+04,1.3071e+03,4.6045e+01,5.7e+02,2.3e+01,1.6e+05,5.9e+02,1.7e+03,1.7e+03,,1.3563e+04,1.6000e+03,3.5000e+01,1.3666e+05,1.3300e+03,8.7500e+01,
selected_36982_20160825_113352_10.0_22.0als_e4.txt,NaN,NaN,nan,nan,9.7602e+03,1.5960e+03,1.8693e+01,2.7955e+05,1.3030e+03,4.6837e+01,3.4e+03,5.8e+01,9.2e+05,3.5e+03,2.2e+03,2.2e+03,,2.0272e+04,1.6000e+03,3.5000e+01,3.9804e+05,1.3300e+03,8.7500e+01,
selected_3914_20160825_191905_20.0_42.0als_e4.txt,NaN,NaN,nan,nan,1.3472e+05,1.5586e+03,6.8566e+01,2.8148e+05,1.4022e+03,1.2214e+02,2.5e+04,1.6e+02,6.7e+06,2.5e+04,2.7e+03,2.8e+03,,6.4789e+04,1.6000e+03,3.5000e+01,1.0983e+05,1.3300e+03,8.7500e+01,
