#Output File:20260102_2230 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,5798.9625,0.1351,4.3949e+05,1.5720e+03,5.2614e+01,1.9309e+06,1.3472e+03,1.5170e+02,8.2e+04,2.7e+02,2.7e+07,8.3e+04,3.8e+03,3.8e+03,,3.7796e+05,1.6000e+03,3.5000e+01,1.0590e+06,1.3300e+03,8.7500e+01,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,49.4875,-0.0044,2.3853e+04,1.5874e+03,4.5005e+01,6.4883e+04,1.3348e+03,9.6044e+01,3.1e+02,1.7e+01,1.0e+05,3.2e+02,1.9e+03,1.9e+03,,2.1426e+04,1.6000e+03,3.5000e+01,5.9491e+04,1.3300e+03,8.7500e+01,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,209.6560,-0.0386,8.1671e+03,1.5941e+03,3.6754e+01,3.1484e+04,1.3793e+03,1.5051e+02,3.7e+02,1.9e+01,1.2e+05,3.8e+02,2.0e+03,2.0e+03,,1.1003e+04,1.6000e+03,3.5000e+01,1.9684e+04,1.3300e+03,8.7500e+01,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23291.2492,-4.0811,3.1623e+05,1.5809e+03,1.1422e+02,1.1339e+06,1.3787e+03,2.2686e+02,3.0e+04,1.7e+02,1.0e+07,3.1e+04,3.4e+03,3.4e+03,,1.6467e+05,1.6000e+03,3.5000e+01,3.9256e+05,1.3300e+03,8.7500e+01,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2083.0011,-0.4131,2.3790e+05,1.5879e+03,3.6282e+01,8.4411e+05,1.3262e+03,7.5177e+01,2.1e+04,1.4e+02,6.8e+06,2.1e+04,3.3e+03,3.3e+03,,2.4700e+05,1.6000e+03,3.5000e+01,1.0489e+06,1.3300e+03,8.7500e+01,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,932.3255,0.0894,6.7184e+04,1.4298e+03,1.4071e+02,3.1457e+04,1.2524e+03,9.1404e+01,5.7e+02,2.4e+01,1.9e+05,5.8e+02,2.1e+03,2.1e+03,,7.2472e+03,1.6000e+03,3.5000e+01,4.5070e+04,1.3300e+03,8.7500e+01,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,-29.2658,0.1317,2.2343e+03,1.6240e+03,1.4881e+01,7.1953e+04,1.4500e+03,1.3026e+02,1.8e+03,4.3e+01,6.1e+05,1.9e+03,2.5e+03,2.5e+03,,1.1410e+04,1.6000e+03,3.5000e+01,3.5279e+04,1.3300e+03,8.7500e+01,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,15.3579,0.0170,4.9655e+03,1.5839e+03,4.4014e+01,5.9981e+03,1.3269e+03,5.4823e+01,1.2e+02,1.1e+01,3.9e+04,1.2e+02,1.6e+03,1.6e+03,,3.6846e+03,1.6000e+03,3.5000e+01,8.7433e+03,1.3300e+03,8.7500e+01,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,1114.6634,0.2620,1.4569e+05,1.5966e+03,2.9405e+01,4.8771e+05,1.3318e+03,9.6512e+01,8.9e+03,9.0e+01,3.0e+06,9.1e+03,3.0e+03,3.0e+03,,1.8816e+05,1.6000e+03,3.5000e+01,4.5977e+05,1.3300e+03,8.7500e+01,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,362.3439,-0.0866,1.5575e+05,1.5897e+03,3.9283e+01,4.9204e+05,1.3260e+03,8.6773e+01,5.5e+03,7.1e+01,1.8e+06,5.6e+03,2.9e+03,2.9e+03,,1.5385e+05,1.6000e+03,3.5000e+01,5.1578e+05,1.3300e+03,8.7500e+01,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,350.7462,0.0514,3.1319e+04,1.5675e+03,8.6230e+01,7.3847e+04,1.3150e+03,6.1101e+01,5.0e+02,2.2e+01,1.7e+05,5.1e+02,2.1e+03,2.1e+03,,1.4916e+04,1.6000e+03,3.5000e+01,1.0061e+05,1.3300e+03,8.7500e+01,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,103.2065,0.1554,2.7826e+04,1.5766e+03,1.0902e+01,3.2575e+04,1.3319e+03,4.5055e+01,6.0e+02,2.4e+01,2.0e+05,6.2e+02,2.1e+03,2.2e+03,,1.9459e+04,1.6000e+03,3.5000e+01,6.7024e+04,1.3300e+03,8.7500e+01,
#0:00:15.519536
