#Output File:20260102_2218 
#(Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.90      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.90      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian       1500      63.7          0.05      NaN         1450.0         1570.0           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d3_amplitude,d3_center,d3_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,5.4214e+04,1.6075e+03,2.3137e+01,2.3864e+05,1.2964e+03,7.3139e+01,7.7990e+05,1.4500e+03,1.3365e+02,3.7e+04,1.9e+02,9.9e+06,3.8e+04,2.9e+03,2.9e+03,,1.8968e+05,1.6000e+03,3.5000e+01,5.8997e+05,1.3300e+03,8.7500e+01,1.6826e+04,1.5000e+03,6.3700e+01,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,2.0785e+04,1.6049e+03,2.5472e+01,1.1426e+05,1.3294e+03,7.9958e+01,1.8059e+04,1.5550e+03,5.7580e+01,2.8e+02,1.7e+01,7.6e+04,2.9e+02,1.5e+03,1.6e+03,,3.6005e+04,1.6000e+03,3.5000e+01,1.1592e+05,1.3300e+03,8.7500e+01,1.3849e+03,1.5000e+03,6.3700e+01,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,1.0706e+05,1.5973e+03,2.9729e+01,2.9912e+05,1.3255e+03,6.2971e+01,2.9194e-09,1.4610e+03,5.6601e+02,3.0e+03,5.4e+01,8.1e+05,3.1e+03,2.2e+03,2.2e+03,,1.1807e+05,1.6000e+03,3.5000e+01,3.8021e+05,1.3300e+03,8.7500e+01,2.9955e+03,1.5000e+03,6.3700e+01,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,2.2207e+04,1.5940e+03,3.8477e+01,6.6089e+04,1.3139e+03,9.4216e+01,2.4944e+04,1.4500e+03,1.0878e+02,3.4e+02,1.8e+01,9.3e+04,3.6e+02,1.6e+03,1.6e+03,,2.2592e+04,1.6000e+03,3.5000e+01,6.5893e+04,1.3300e+03,8.7500e+01,1.2854e+03,1.5000e+03,6.3700e+01,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,4.2312e-03,4.2700e+03,6.7616e+04,2.0359e+05,1.2768e+03,6.8828e+01,1.9572e-05,1.5676e+03,1.0663e+05,1.3e+03,3.4e+01,3.6e+05,1.4e+03,2.0e+03,2.0e+03,,2.2680e+02,1.6000e+03,3.5000e+01,1.4796e+05,1.3300e+03,8.7500e+01,2.3561e+02,1.5000e+03,6.3700e+01,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,7.8942e+03,1.6017e+03,2.5703e+01,3.1396e+04,1.3286e+03,6.8992e+01,5.0770e+03,1.5342e+03,6.7183e+01,2.6e+02,1.6e+01,7.1e+04,2.7e+02,1.5e+03,1.6e+03,,1.1563e+04,1.6000e+03,3.5000e+01,3.5857e+04,1.3300e+03,8.7500e+01,4.1633e+02,1.5000e+03,6.3700e+01,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,5.5576e+04,1.5913e+03,2.7933e+01,1.5353e+05,1.3238e+03,5.5830e+01,2.0576e+04,1.5161e+03,6.2091e+01,9.2e+02,3.0e+01,2.5e+05,9.5e+02,1.9e+03,1.9e+03,,6.5071e+04,1.6000e+03,3.5000e+01,2.2547e+05,1.3300e+03,8.7500e+01,2.0786e+03,1.5000e+03,6.3700e+01,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,9.0137e+04,1.5641e+03,5.6163e+01,3.8014e+05,1.3536e+03,1.1891e+02,4.7250e-05,1.5522e+03,1.3648e+03,1.5e+04,1.2e+02,4.1e+06,1.6e+04,2.6e+03,2.7e+03,,6.1989e+04,1.6000e+03,3.5000e+01,2.1674e+05,1.3300e+03,8.7500e+01,4.9388e+03,1.5000e+03,6.3700e+01,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,2.5137e+05,1.5801e+03,3.8047e+01,1.0417e+06,1.2954e+03,1.6935e+02,1.4433e-05,1.4508e+03,2.3907e+03,7.2e+04,2.7e+02,1.9e+07,7.4e+04,3.0e+03,3.1e+03,,2.1968e+05,1.6000e+03,3.5000e+01,4.5684e+05,1.3300e+03,8.7500e+01,9.1624e+03,1.5000e+03,6.3700e+01,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,7.4757e+05,1.5837e+03,4.2804e+01,2.0245e+06,1.3089e+03,1.1734e+02,8.5789e+05,1.4500e+03,1.0265e+02,1.3e+05,3.4e+02,3.4e+07,1.3e+05,3.2e+03,3.2e+03,,6.8014e+05,1.6000e+03,3.5000e+01,1.7514e+06,1.3300e+03,8.7500e+01,4.4581e+04,1.5000e+03,6.3700e+01,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,271.9111,0.1779,1.4533e+05,1.5809e+03,3.8399e+01,3.2944e+05,1.3185e+03,6.2054e+01,3.1007e-03,1.4583e+03,5.9414e+02,4.4e+03,6.5e+01,1.2e+06,4.5e+03,2.3e+03,2.3e+03,,1.1630e+05,1.6000e+03,3.5000e+01,4.1706e+05,1.3300e+03,8.7500e+01,3.9325e+03,1.5000e+03,6.3700e+01,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,510.0238,-0.2248,1.6911e+04,1.5860e+03,3.5489e+01,1.8055e+05,1.3072e+03,7.5543e+01,1.8284e-03,1.5692e+03,3.0036e+03,7.9e+02,2.8e+01,2.1e+05,8.2e+02,1.8e+03,1.9e+03,,1.9237e+04,1.6000e+03,3.5000e+01,1.7270e+05,1.3300e+03,8.7500e+01,1.1704e+03,1.5000e+03,6.3700e+01,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,1847.2163,-0.7996,1.4668e+04,1.5844e+03,2.2333e+01,4.9033e+05,1.3014e+03,7.0000e+01,1.3855e+05,1.4500e+03,2.9179e+03,7.6e+03,8.7e+01,2.0e+06,7.8e+03,2.4e+03,2.5e+03,,2.9584e+04,1.6000e+03,3.5000e+01,4.7823e+05,1.3300e+03,8.7500e+01,2.0356e+03,1.5000e+03,6.3700e+01,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19075.1117,0.4425,0.0000e+00,1.5513e+03,6.9049e+01,8.2754e+05,1.3799e+03,1.4246e+02,5.0409e-02,1.5555e+03,7.3755e+02,2.2e+05,4.1e+02,5.8e+07,2.2e+05,3.3e+03,3.4e+03,,1.3260e+05,1.6000e+03,3.5000e+01,3.6366e+05,1.3300e+03,8.7500e+01,1.5624e+04,1.5000e+03,6.3700e+01,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6043.1314,0.1023,3.9806e+05,1.5720e+03,4.9915e+01,1.7963e+06,1.3512e+03,1.4801e+02,8.3212e-03,1.5602e+03,7.2555e+03,9.4e+04,3.0e+02,2.5e+07,9.7e+04,3.1e+03,3.1e+03,,3.2120e+05,1.6000e+03,3.5000e+01,9.0349e+05,1.3300e+03,8.7500e+01,2.4464e+04,1.5000e+03,6.3700e+01,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,30.4124,0.0093,9.1613e+03,1.6020e+03,2.5635e+01,6.6752e+04,1.3322e+03,9.6758e+01,1.1233e+04,1.5563e+03,5.7752e+01,2.2e+02,1.5e+01,6.0e+04,2.3e+02,1.5e+03,1.5e+03,,1.8993e+04,1.6000e+03,3.5000e+01,5.3729e+04,1.3300e+03,8.7500e+01,8.3716e+02,1.5000e+03,6.3700e+01,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,225.5845,-0.0439,3.8902e+03,1.6007e+03,1.9723e+01,7.8269e+03,1.3172e+03,4.3870e+01,1.3349e+04,1.4919e+03,1.1392e+02,3.0e+02,1.7e+01,8.1e+04,3.1e+02,1.6e+03,1.6e+03,,9.1646e+03,1.6000e+03,3.5000e+01,1.5519e+04,1.3300e+03,8.7500e+01,4.3626e+02,1.5000e+03,6.3700e+01,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23821.8023,-4.0107,0.0000e+00,1.5561e+03,9.3629e+01,4.0084e+05,1.3873e+03,1.2031e+02,6.5301e-02,1.4587e+03,1.2873e+03,1.5e+05,3.2e+02,4.0e+07,1.5e+05,3.2e+03,3.3e+03,,8.4566e+04,1.6000e+03,3.5000e+01,1.9889e+05,1.3300e+03,8.7500e+01,1.0461e+04,1.5000e+03,6.3700e+01,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2115.4123,-0.4016,1.6465e+05,1.5940e+03,2.7434e+01,7.8177e+05,1.3245e+03,6.8668e+01,7.6900e+04,1.5210e+03,6.2745e+01,1.5e+04,1.2e+02,4.1e+06,1.6e+04,2.6e+03,2.6e+03,,2.1726e+05,1.6000e+03,3.5000e+01,9.3217e+05,1.3300e+03,8.7500e+01,8.3320e+03,1.5000e+03,6.3700e+01,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,951.5507,0.0911,5.2113e+02,1.6946e+03,4.0825e+00,3.7996e+04,1.2607e+03,9.6961e+01,3.1603e+04,1.4500e+03,1.1038e+02,5.2e+02,2.3e+01,1.4e+05,5.4e+02,1.7e+03,1.7e+03,,4.3607e+03,1.6000e+03,3.5000e+01,3.5267e+04,1.3300e+03,8.7500e+01,9.2366e+02,1.5000e+03,6.3700e+01,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,51.6479,0.0716,1.1804e+04,1.4759e+03,1.1203e+01,2.7546e+04,1.3341e+03,7.9044e+01,2.7417e+04,1.5700e+03,1.2353e+02,6.5e+02,2.5e+01,1.8e+05,6.8e+02,1.8e+03,1.8e+03,,1.1770e+04,1.6000e+03,3.5000e+01,3.1517e+04,1.3300e+03,8.7500e+01,1.2104e+03,1.5000e+03,6.3700e+01,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,12.6049,0.0187,3.6453e+03,1.5902e+03,3.2566e+01,4.3046e+03,1.3162e+03,3.9848e+01,2.5258e+03,1.4500e+03,9.1842e+01,1.2e+02,1.1e+01,3.1e+04,1.2e+02,1.3e+03,1.3e+03,,3.3170e+03,1.6000e+03,3.5000e+01,7.9850e+03,1.3300e+03,8.7500e+01,8.3400e+01,1.5000e+03,6.3700e+01,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,1014.8581,0.3500,8.2474e+04,1.6023e+03,2.0588e+01,4.8486e+05,1.3310e+03,9.6278e+01,4.4740e+04,1.5700e+03,4.0818e+01,8.4e+03,8.9e+01,2.3e+06,8.7e+03,2.5e+03,2.5e+03,,1.6530e+05,1.6000e+03,3.5000e+01,4.0952e+05,1.3300e+03,8.7500e+01,4.8579e+03,1.5000e+03,6.3700e+01,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,406.8371,-0.0910,6.9500e+04,1.6007e+03,2.4417e+01,4.6623e+05,1.3259e+03,8.1887e+01,6.7698e+04,1.5585e+03,5.2940e+01,3.2e+03,5.5e+01,8.8e+05,3.4e+03,2.2e+03,2.2e+03,,1.3475e+05,1.6000e+03,3.5000e+01,4.5462e+05,1.3300e+03,8.7500e+01,5.1412e+03,1.5000e+03,6.3700e+01,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,329.2569,0.0687,1.8751e+04,1.5910e+03,4.9522e+01,7.2275e+04,1.3127e+03,5.8243e+01,7.7564e+03,1.4592e+03,5.3156e+01,4.3e+02,2.1e+01,1.2e+05,4.4e+02,1.7e+03,1.7e+03,,1.2817e+04,1.6000e+03,3.5000e+01,9.0176e+04,1.3300e+03,8.7500e+01,8.1502e+02,1.5000e+03,6.3700e+01,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,70.7149,0.1761,2.4244e+04,1.5765e+03,9.4564e+00,2.2447e+04,1.3297e+03,3.2561e+01,1.9145e+04,1.4500e+03,1.8949e+02,4.8e+02,2.2e+01,1.3e+05,5.0e+02,1.7e+03,1.7e+03,,1.7444e+04,1.6000e+03,3.5000e+01,6.1526e+04,1.3300e+03,8.7500e+01,5.1405e+02,1.5000e+03,6.3700e+01,
#0:00:33.745061
